Klasse,Datum,Uhrzeit,Dauer (min),Ort,Verantwortlich,Abschlussklasse,Priorität
"1AHEL","08.04.2025","08:50 - 09:40",10,"C115","PANG",Nein,1
"1AHME","07.04.2025","13:25 - 14:15",10,"C216","HOTA",Nein,1
"2AHITN","08.04.2025","13:25 - 14:15",10,"C013","RATP",Nein,1
"2AHME","07.04.2025","08:50 - 09:40",10,"C215","KLAS",Nein,1
"2YHKUP","08.04.2025","09:55 - 10:45",10,"C130","AMOT",Nein,1
"2YHKUP","08.04.2025","10:45 - 11:35",10,"C130","AMOT",Nein,1
"3AFMBZ","07.04.2025","11:40 - 12:30",10,"TS1","GRAJ",Nein,1
"3AHITN","08.04.2025","08:00 - 08:50",10,"A001","SCHH",Nein,1
"3BHMBZ","08.04.2025","12:30 - 13:20",10,"C314","FREP",Nein,1
"4AFMBZ","07.04.2025","08:00 - 08:50",10,"B067","DERM",Nein,1
"4AHEL","08.04.2025","11:40 - 12:30",10,"C117","LOVB",Nein,1
"5AHMBZ","07.04.2025","10:45 - 11:35",15,"B146","SARN",Ja,1
"5YHKUP","07.04.2025","09:55 - 10:45",15,"C201","PRAC",Ja,1
"1AFMBZ","07.04.2025","09:40 - 09:50",10,"B137","BENE",Nein,2
"1AHITN","Kein Termin","Kein Termin",10,"C015","RABS",Nein,2
"1AHMBZ","07.04.2025","13:20 - 13:30",10,"C304","BACR",Nein,2
"1BHMBZ","Kein Termin","Kein Termin",10,"C311","STRJ",Nein,2
"1BHME","07.04.2025","12:30 - 12:40",10,"C216","AIGS",Nein,2
"1YHKUP","Kein Termin","Kein Termin",10,"E104","BAUU",Nein,2
"1YHKUP","Kein Termin","Kein Termin",10,"E104","BAUU",Nein,2
"1YHKUP","Kein Termin","Kein Termin",10,"E104","BAUU",Nein,2
"2AHEL","Kein Termin","Kein Termin",10,"A002","RAMM",Nein,2
"2AHMBZ","08.04.2025","09:40 - 09:50",10,"B138","WILD",Nein,2
"2AHMBZ","Kein Termin","Kein Termin",10,"B138","WILD",Nein,2
"2BHMBZ","Kein Termin","Kein Termin",10,"C302","UHLT",Nein,2
"2BHME","07.04.2025","11:35 - 11:45",10,"C203","RAFR",Nein,2
"2YHKUP","Kein Termin","Kein Termin",10,"C130","AMOT",Nein,2
"3AHEL","08.04.2025","13:20 - 13:30",10,"C116","EICA",Nein,2
"3AHMBZ","Kein Termin","Kein Termin",10,"C305","WEIN",Nein,2
"3AHME","08.04.2025","11:35 - 11:45",10,"C213","OBEL",Nein,2
"3BHME","08.04.2025","12:30 - 12:40",10,"C204","GAUS",Nein,2
"3YHKUP","Kein Termin","Kein Termin",10,"C202","BENT",Nein,2
"3YHKUP","Kein Termin","Kein Termin",10,"C202","BENT",Nein,2
"3YHKUP","Kein Termin","Kein Termin",10,"C202","BENT",Nein,2
"4AHITN","Kein Termin","Kein Termin",10,"A003","PRAG",Nein,2
"4AHMBZ","Kein Termin","Kein Termin",10,"C306","SONM",Nein,2
"4AHME","Kein Termin","Kein Termin",10,"C207","KIMB",Nein,2
"4BHMBZ","Kein Termin","Kein Termin",10,"C201","OBEA",Nein,2
"4BHME","Kein Termin","Kein Termin",10,"C211","STCH",Nein,2
"4YHKUG","Kein Termin","Kein Termin",10,"V103","HANC",Nein,2
"4YHKUJ","Kein Termin","Kein Termin",10,"V104","HANC",Nein,2
"4YHKUP","Kein Termin","Kein Termin",10,"B084","HANC",Nein,2
"5AHITN","07.04.2025","13:20 - 13:35",15,"A004","HORF",Ja,2
"5AHME","07.04.2025","09:40 - 09:55",15,"C030","ZELC",Ja,2
"5BHMBZ","Kein Termin","Kein Termin",15,"C014","NIET",Ja,2
"5BHMBZ","Kein Termin","Kein Termin",15,"C131","NIET",Ja,2
"5BHME","07.04.2025","12:30 - 12:45",15,"C201","PROE",Ja,2
"5YHKUP","08.04.2025","09:40 - 09:55",15,"C201","PRAC",Ja,2
"5YHKUP","08.04.2025","11:35 - 11:50",15,"C201","PRAC",Ja,2
